序号,药品名称,规格,单位,单价,生产厂家
1,葡萄糖注射液,500ml,30/件,47.1,石家庄四药股份有限公司
2,葡萄糖注射液,100ml,90/件,387,石家庄四药股份有限公司
3,葡萄糖注射液,250ml,60/件,69,石家庄四药股份有限公司
4,葡萄糖注射液,500ml,30/件,47.1,石家庄四药股份有限公司
5,阿苯达唑片,0.2g*10s,盒,8.83,中美史克
6,阿莫西林克拉维酸钾颗粒,0.2285*6袋,盒,23.33,黑龙江全乐制药
7,阿莫西林克拉维酸钾片,0.2285g*6片,盒,13.48,四川
8,阿奇霉素颗粒,,盒,0,
9,阿司匹林肠溶片,50mg*100p,瓶,7.6,山西同达药业
10,阿司匹林肠溶片,100mg36t,盒,17.84,石药集团
11,氨茶碱片,0.1克*100片,瓶,8.48,天津力生制药股份有限公司
12,氨茶碱注射液,0.25g*10支,盒,39,石药银湖制药有限公司
13,柏子养心丸,9g*10w,盒,6.25,山西天生制药有限责任公司
14,板蓝根颗粒,10g*15d,包,11,广州白云山制药股份有限公司广州白云山制药总厂
15,保妇康栓,1.74g,8粒/盒,34.72,海南碧凯药业有限公司
16,保和颗粒,4.5g*10d,盒,21.7,太极集团
17,保和丸,9g*10丸,盒,5.2,山西天生制药有限责任公司
18,苯磺酸左氨氯地平片,2.5mg*21s,盒,36,贵州联盛药业
19,苯唑西林钠胶囊,36粒,盒,39.33,四川制药
20,鼻炎康片,0.37g96片,瓶,20.58,国药集团
21,参苓白术散,9g*10袋,盒,0,云南腾
22,参芪降糖胶囊,0.35*90粒,盒,48.15,河南羚锐制
23,茶碱缓释片,0.1g*30t,盒,8.7,
24,柴胡注射液,2ml*10支,盒,3.9,河南福森
25,醋酸泼尼松片,5mg100p,瓶,6.2,山东新华
26,达格列净片,10mg*7片*2板,盒,61.04,阿斯利康制药有限公司
27,丹珍头痛胶囊,0.5g*24粒,盒,33.1,青海益欣药业
28,单硝酸异山梨酯片,20mg*48s,盒,37.97,鲁南贝特
29,灯盏花素片,20mg*18s*2板,盒,49.8,逐成药业
30,地塞米松磷酸钠注射液,5mg*1ml*10支,盒,4.5,石药银湖制药有限公司
31,地衣芽孢杆菌活菌胶囊,0.25g*20粒,盒,20.34,东北制药集团公司沈阳第一制药厂
32,地衣芽孢杆菌活菌颗粒,0.5g*12袋,盒,0,东北制药集团沈阳第一制药有限公司
33,颠茄片,10mg*100p,瓶,5.18,天津天士力制药股份有限公司
34,丁酸氢化可的松乳膏,20g,支,14.6,天津太平洋制药有限公司
35,对乙酰氨基酚口服液混悬液,100ml*3.2g,瓶,12.8,上海强生
36,对乙酰氨基酚干混悬剂,1.01g*10袋,盒,17.75,青岛黄海
37,防风通圣丸,6g10袋,盒,6.5,山西天生制药有限责任公司
38,非诺贝特分散片,0.1g*24片,盒,30.42,东莞市金美药业有限公司
39,风湿骨痛片,0.36g*48片,盒,30.11,安徽美欣制药有限公司
40,风湿液,250ml,盒,46.68,天津达仁堂京万红药业
41,呋喃妥因肠溶片,50mg100片,瓶,7.7,天津力生制药股份有限公司
42,呋塞米片,20mg*100p,瓶,29.8,天津力生制药股份有限公司
43,妇科千金片,无,144片/瓶,34,株洲千金药业股份有限公司
44,妇炎消胶囊,0.45g*48粒,盒,30.3,贵州益佰女子大药厂有限责任公司
45,附子理中丸,9g*10丸,盒,5.83,山西天生制药有限责任公司
46,复方丹参滴丸,27mg*180丸,瓶,26.08,天津天士力制药股份有限公司
47,复方丹参片,100片,瓶,26.13,吉林道君
48,复方甘草片,100片,瓶,9,东北制药集团公司沈阳第一制药厂
49,复方黄柏液涂剂,150ml,1瓶/盒,57.2,山东汉方制药有限公司
50,感冒清热胶囊,0.45*36粒,盒,27.34,吉林敖东
51,感冒清热颗粒,12g*6袋,合,15,天圣制药
52,宫炎平胶囊,0.2g*60粒,盒,23.5,江西桔王药业
53,枸橼酸铋钾颗粒,1g*56袋,盒,30.24,国药集团
54,冠心苏合胶囊,0.35g*20粒,盒,24.95,吉林朝药
55,归脾丸,9g*10丸,盒,6.15,山西天生制药有限责任公司
56,桂龙咳喘宁片,0.41g*60片,盒,18.4,江西药都仁和制药有限公司
57,桂枝茯苓丸,6g*10丸,盒,6.1,山西天生制药有限责任公司
58,寒喘祖帕颗粒,12g*6袋,盒,22.79,新疆维吾药业
59,红金消结胶囊,0.4g,36粒/盒,31.61,云南佑生药业有限责任公司
60,红霉素软膏,15g,支,1.8,福元药业
61,琥珀酸亚铁片,0.1g*18片,盒,29.54,湖南九典制药
