序号,药品名称,规格,单位,单价,生产厂家
1,阿莫西林颗粒,,盒,0,
2,阿莫西林胶囊,,盒,2.660019,华北制药
3,阿奇霉素胶囊,,盒,0,
4,阿托伐他汀钙片,10mg*14片,盒,2.8,
5,阿托伐他汀钙片,20mg*28片,盒,9.52,
6,奥氮平,,盒,0,
7,苯磺酸氨氯地平片,,盒,0,
8,布洛芬缓释胶囊,,盒,0,
9,布洛芬颗粒,,盒,0,
10,多潘立酮片,,盒,5.89,辅仁药业集团有限
11,恩替卡韦平,,盒,0,
12,非那雄胺片,,盒,0,
13,复方氨基酸注射液,,瓶,0,
14,格列吡嗪片,,盒,0,
15,格列美脲片,,盒,0,
16,甲硝唑片,,盒,0,
17,胶体果胶铋胶囊,,盒,0,
18,酒石酸美托洛尔片,,盒,0,
19,卡托普利片,,盒,0,
20,克拉霉素片,,盒,0,
21,利伐沙班片限制药,,盒,0,
22,硫酸氢氯吡格雷片,,盒,0,
23,氯雷他定片,,盒,0,
24,马来酸依那普利片,,盒,0,
25,蒙脱石散,,盒,0,
26,尼莫地平片,,盒,0,
27,诺氟沙星片,,盒,0,
28,瑞格列奈片,,盒,0,
29,瑞舒伐他汀钙片,,盒,0,
30,替格瑞洛片,,盒,0,
31,头孢呋辛酯片,,盒,0,
32,维生素B6片,,盒,0,
33,吸入用布地奈德混悬液,,支,0,
34,吸入用硫酸沙丁胺醇溶液,,支,0,
35,缬沙坦胶囊,,盒,0,
36,辛伐他汀片,,盒,0,
37,盐酸氨溴索分散片,,盒,0,
38,盐酸二甲双胍缓释片,,盒,0,
39,盐酸二甲双胍片,,盒,0,
40,盐酸坦索罗辛缓释胶囊,,盒,0,
41,吲哒帕胺片,,盒,0,
42,注射用甲泼尼龙琥珀酸钠,,支,0,
43,注射用头孢呋辛钠,,支,0,
44,左氧氟沙星片,,盒,0,
45,苯磺酸氨氯地平片,,盒,0,
46,注射用法莫替丁,,支,0,
47,盐酸雷尼替丁注射液,10支/盒,盒,0,
48,盐酸甲氧氯普胺注射液,10支/盒,支,0,
49,金水宝片限制药,,盒,0,
50,活血止痛胶囊,,盒,0,
51,阿卡波糖片,,盒,0,
52,枸橼酸莫沙必利片,,盒,0,
53,碳酸氢钠注射液,,支,0,
54,血府逐瘀丸,,盒,0,
55,双黄连口服液,,盒,0,
56,甘露醇注射液,,瓶,0,
57,尼群地平片,,盒,0,
58,肾衰宁,,盒,0,
59,血塞通,,盒,0,
60,银杏叶片,,盒,0,
61,乳果糖口服溶液,,盒,0,
62,奥美拉唑肠溶胶囊,,盒,0,
63,硫酸庆大霉素注射液,2ml8万单位,支,0.6,河南润弘
64,硝苯地平缓释片,20mg*45片/盒,盒,2.1,华润双鹤利明药业
65,银杏叶胶囊,0.12g*36粒/盒,粒,0,
66,吲达帕胺片,2.5mg,片,0,
