序号,药品名称,规格,单位,单价,生产厂家
1,阿德福韦酯片,,盒,0,
2,玻璃酸钠注射液,,盒,0,
3,地氯雷他定片,,盒,0,
4,厄贝沙坦片,,盒,0,
5,厄贝沙坦氢氯噻嗪片,,盒,0,
6,复方利血平片,,盒,0,
7,格列齐特缓释片,,盒,0,
8,甲钴胺片,,盒,0,
9,坎地沙坦酯片,,盒,0,
10,氯沙坦钾片,,盒,0,
11,孟鲁司特钠片,,盒,0,
12,泮托拉唑钠肠溶片,,盒,0,
13,匹伐他汀钙片,,盒,0,
14,塞来昔布胶囊,,盒,0,
15,天麻素注射液,,盒,0,
16,头孢克洛胶囊,,盒,0,
17,盐酸氨基葡萄糖胶囊,,盒,0,
18,盐酸氨溴索注射液,,支,0,
19,盐酸西替利嗪片,,盒,0,
20,盐酸左西替利嗪片,,盒,0,
21,注射液头孢曲松钠,,支,0,
22,注射用阿奇霉素,,支,0,
23,注射用美洛西林钠,,支,0,
24,注射用七叶皂苷钠,,支,0,
25,注射用头孢曲松钠,,支,0,
26,左氧氟沙星滴眼液,,支,0,
27,左氧氟沙星氯化钠注射液,,袋,0,
28,左乙拉西坦片,,盒,0,
29,曲克芦丁片,,盒,0,
30,马来酸氯苯那敏注射液,,支,0,
31,氯化钾注射液,,支,0,
32,脂肪乳注射用C14-24),,瓶,0,
33,奥硝唑氯化钠注射液,,瓶,0,
34,格列齐特缓释片,,盒,0,
35,康复新液,每瓶装30ml*4瓶,瓶,13.79,内蒙古京新药业有限公司
36,小儿布洛芬栓,50mg8枚,盒,26.64,
37,右旋布洛芬口服混悬液,100ml,盒,40,
38,右旋布洛芬栓,50mg*12粒,盒,39.15,
39,抗病毒颗粒,4g*12袋,盒,17.04,
40,四季抗病毒合剂,10ml*6支,盒,49.5,
41,利巴韦林泡腾颗粒,50mg*36袋,盒,38,
42,金花清感颗粒,6袋,盒,53.4,
